player_name,player_link,player_birthday,player_current_team,player_handedness,player_position,player_image
Anthony Black,https://www.basketball-reference.com/players/b/blackan01.html,2004-01-20,Orlando Magic,Right,Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/blackan01.jpg
Anthony Bonner,https://www.basketball-reference.com/players/b/bonnean01.html,1968-06-08,Free Agent / Retired,Right,Power Forward and Small Forward,
Anthony Bowie,https://www.basketball-reference.com/players/b/bowiean01.html,1963-11-09,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/bowiean01.jpg
Anthony Brown,https://www.basketball-reference.com/players/b/brownan02.html,1992-10-10,Free Agent / Retired,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/brownan02.jpg
Anthony Carter,https://www.basketball-reference.com/players/c/cartean01.html,1975-06-16,Free Agent / Retired,Right,Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/cartean01.jpg
Anthony Cook,https://www.basketball-reference.com/players/c/cookan01.html,1967-03-19,Free Agent / Retired,Right,Power Forward,
Anthony Davis,https://www.basketball-reference.com/players/d/davisan02.html,1993-03-11,Los Angeles Lakers,Right,Center and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/davisan02.jpg
Anthony Edwards,https://www.basketball-reference.com/players/e/edwaran01.html,2001-08-05,Minnesota Timberwolves,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/edwaran01.jpg
Anthony Gill,https://www.basketball-reference.com/players/g/gillan01.html,1992-10-17,Washington Wizards,Right,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/gillan01.jpg
Anthony Goldwire,https://www.basketball-reference.com/players/g/goldwan01.html,1971-09-06,Free Agent / Retired,Right,Point Guard,
Anthony Grundy,https://www.basketball-reference.com/players/g/grundan01.html,1979-04-15,Free Agent / Retired,Right,Shooting Guard,
Anthony Johnson,https://www.basketball-reference.com/players/j/johnsan02.html,1974-10-02,Free Agent / Retired,Right,Point Guard and Shooting Guard,
Anthony Lamb,https://www.basketball-reference.com/players/l/lamban01.html,1998-01-20,Free Agent / Retired,Right,Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/lamban01.jpg
Anthony Mason,https://www.basketball-reference.com/players/m/masonan01.html,1966-12-14,Free Agent / Retired,Left,Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/masonan01.jpg
Anthony Miller,https://www.basketball-reference.com/players/m/millean01.html,1971-10-22,Free Agent / Retired,Right,Power Forward,
Anthony Morrow,https://www.basketball-reference.com/players/m/morroan01.html,1985-09-27,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/morroan01.jpg
Anthony Parker,https://www.basketball-reference.com/players/p/parkean01.html,1975-06-19,Free Agent / Retired,Right,Shooting Guard and Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/parkean01.jpg
Anthony Peeler,https://www.basketball-reference.com/players/p/peelean01.html,1969-11-25,Free Agent / Retired,Left,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/peelean01.jpg
Anthony Randolph,https://www.basketball-reference.com/players/r/randoan01.html,1989-07-15,Free Agent / Retired,Left,Power Forward and Center,https://www.basketball-reference.com/req/202106291/images/headshots/randoan01.jpg
